Make,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM,Drivetrain_FWD,Drivetrain_RWD,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + LPG
Mercedes-Benz,GLC 220 d Progressive,15.068273812173887,0.8529411764705882,11.184435286790631,Automatic,Faridabad,White,1,Individual,2143.0,4656.0,1890.0,1639.0,5.0,66.0,168.0,3000.0,0.7659574468085106,1400.0,False,False,False,True,False,False,False,False,False
Toyota,Innova 2.5 E,11.982935344196433,0.5882352941176471,11.407576060361786,Manual,Varanasi,White,4,Individual,2494.0,4555.0,1770.0,1755.0,8.0,55.0,,,,,False,True,False,True,False,False,False,False,False
Maruti Suzuki,Alto 800 Std,12.100717685412471,0.7647058823529411,10.778977123006351,Manual,Ranchi,Silver,3,Individual,796.0,3395.0,1490.0,1475.0,5.0,35.0,47.0,6000.0,-0.6425531914893617,3500.0,True,False,False,False,False,False,False,True,False
Mahindra,Thar LX 4-STR Hard Top Diesel AT,14.444119750719839,1.0,9.61587214452889,Automatic,Delhi,Grey,1,Individual,2184.0,3985.0,1820.0,1844.0,4.0,57.0,130.0,3750.0,0.3404255319148936,1600.0,False,False,False,True,False,False,False,False,False
Maruti Suzuki,Ciaz S 1.4 MT,13.279368835614243,0.8823529411764706,10.34177474101152,Manual,Kolkata,Brown,1,Individual,1373.0,4490.0,1730.0,1485.0,5.0,43.0,91.0,6000.0,-0.3829787234042553,4000.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Swift DZire VDI,12.468440756144114,0.6764705882352942,11.407576060361786,Manual,Chandigarh,White,2,Individual,1248.0,3995.0,1695.0,1555.0,5.0,42.0,74.0,4000.0,-0.1276595744680851,2000.0,True,False,False,True,False,False,False,False,False
Maruti Suzuki,Swift ZXi AMT [2018-2019],13.451668563394815,0.8823529411764706,8.987321812850125,Automatic,Mumbai,Blue,1,Individual,1197.0,3840.0,1735.0,1530.0,5.0,37.0,82.0,6000.0,-0.4553191489361702,4200.0,True,False,False,False,False,False,False,True,False
Mahindra,XUV500 W10 AT,13.81049801614073,0.8235294117647058,11.561725152903833,Automatic,Mumbai,Grey,2,Individual,2179.0,4585.0,1890.0,1785.0,7.0,70.0,138.0,3750.0,0.46808510638297873,1600.0,True,False,False,True,False,False,False,False,False
Honda,City 1.5 V AT,12.409017571151187,0.6470588235294118,11.461642696843066,Automatic,Gurgaon,Grey,2,Individual,1497.0,4420.0,1695.0,1480.0,5.0,42.0,,,,,True,False,False,False,False,False,False,True,False
Hyundai,i20 Magna 1.2,12.429220196836383,0.7058823529411765,11.184435286790631,Manual,Mumbai,White,3,Individual,,,,,,,,,,,False,True,False,False,False,False,False,True,False
