Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],13.47442911525415,0.8823529411764706,11.125806040978839,Diesel,Manual,Mumbai,Red,First,Individual,-0.6960565702897143,FWD,3995.0,1790.0,1640.0,0.5,48.0,89.0,4000.0,200.0,1750.0
Renault,Duster RXL Petrol,13.304686600863562,0.8529411764705882,10.778977123006351,Petrol,Manual,Mumbai,Black,First,Individual,-0.31651675909397664,FWD,4315.0,1822.0,1695.0,0.5,50.0,105.0,5600.0,142.0,4000.0
Maruti Suzuki,Ciaz ZXI+,13.25339339419516,0.7941176470588235,11.015328620450578,Petrol,Manual,Mumbai,White,First,Individual,-0.5062866646918455,FWD,4490.0,1730.0,1485.0,0.5,43.0,91.0,6000.0,130.0,4000.0
Maruti Suzuki,Baleno Sigma 1.2,13.07107218827772,0.7941176470588235,10.778977123006351,Petrol,Manual,Navi Mumbai,Grey,First,Individual,-0.7734826917736448,FWD,3995.0,1745.0,1500.0,0.5,37.0,83.0,6000.0,115.0,4000.0
Toyota,Fortuner 2.8 4x4 AT [2016-2020],14.827111833279051,0.8529411764705882,12.296831574998258,Diesel,Automatic,Jaipur,White,Second,Individual,1.5918094115981924,AWD,4795.0,1855.0,1835.0,0.8333333333333334,80.0,174.0,3400.0,450.0,1600.0
Maruti Suzuki,Swift Lxi (O) [2014-2017],13.25339339419516,0.9117647058823529,9.472781556562168,Petrol,Manual,Delhi,Silver,First,Individual,-0.7734826917736448,FWD,3850.0,1695.0,1530.0,0.5,42.0,83.0,6000.0,115.0,4000.0
Hyundai,Verna Fluidic 1.6 CRDi SX,12.367345048436391,0.6764705882352942,11.813037464800539,Diesel,Manual,Ambala Cantt,White,First,Individual,-0.1889913825322088,FWD,4370.0,1700.0,1475.0,0.5,43.0,126.0,4000.0,260.0,1900.0
Hyundai,Tucson GL 2WD AT Diesel,14.6888942063636,0.9117647058823529,10.71168069304257,Diesel,Automatic,Bangalore,White,First,Individual,0.4380083855631499,FWD,4475.0,1850.0,1660.0,0.5,62.0,182.0,4000.0,400.0,1750.0
Maruti Suzuki,Celerio X Zxi AMT [2017-2019],13.091904169919621,0.8823529411764706,10.691967639914864,Petrol,Automatic,Delhi,Grey,First,Individual,-1.0755963814854521,FWD,3715.0,1635.0,1565.0,0.5,35.0,67.0,6000.0,90.0,3500.0
Audi,A3 35 TDI Premium + Sunroof,14.88022163978423,0.9117647058823529,9.65059330557001,Diesel,Automatic,Goa,White,First,Individual,0.3970180859540102,FWD,4456.0,1796.0,1416.0,0.5,50.0,141.0,3500.0,320.0,1750.0
Toyota,Corolla Altis GL Petrol,13.887832149776026,0.8235294117647058,11.156264806643742,Petrol,Manual,Delhi,White,First,Individual,0.1389310143409086,FWD,4620.0,1775.0,1475.0,0.5,55.0,138.0,6400.0,173.0,4000.0
Mercedes-Benz,GL-Class 350 CDI,15.250595321348806,0.7941176470588235,11.251573687764477,Diesel,Automatic,Chennai,Black,Second,Individual,1.9440223563878372,AWD,5120.0,1934.0,1850.0,0.8333333333333334,100.0,258.0,3600.0,619.0,1600.0
Maruti Suzuki,Baleno Zeta 1.2 AT,13.641158361294979,0.9411764705882353,8.853808274977197,Petrol,Automatic,Chennai,Maroon,First,Individual,-0.7734826917736448,FWD,3995.0,1745.0,1500.0,0.5,37.0,83.0,6000.0,115.0,4000.0
Audi,A3 35 TDI Premium,14.897316067298997,0.9411764705882353,9.305741456739435,Diesel,Automatic,Pune,White,First,Individual,0.3970180859540102,FWD,4456.0,1796.0,1416.0,0.5,50.0,141.0,3500.0,320.0,1750.0
Maruti Suzuki,SX4 ZDI,12.601490784782536,0.7352941176470589,11.338583982516495,Diesel,Manual,Delhi,White,First,Individual,-0.6960565702897143,FWD,4490.0,1735.0,1560.0,0.5,50.0,89.0,4000.0,200.0,1750.0
Maruti Suzuki,Ciaz Alpha 1.4 AT,13.493928313146206,0.8529411764705882,10.915106645867503,Petrol,Automatic,Noida,White,First,Individual,-0.5062866646918455,FWD,4490.0,1730.0,1485.0,0.5,43.0,91.0,6000.0,130.0,4000.0
Maruti Suzuki,Swift LXi,13.384729180332174,1.0,8.699681400989514,Petrol,Manual,Delhi,White,First,Individual,-0.7734826917736448,FWD,3845.0,1735.0,1530.0,0.5,37.0,89.0,6000.0,113.0,4400.0
Maruti Suzuki,Swift VDi,13.122365377402328,0.8529411764705882,11.849404844423074,Diesel,Manual,Warangal,Grey,First,Individual,-0.6960565702897143,FWD,3850.0,1695.0,1530.0,0.5,42.0,74.0,4000.0,190.0,2000.0
